ID,IGBP,LAT,LON,START,END,IRGA,SA,INST_H,CANOPY_H,KOPPEN,ELEV,PLANT,COUNTRY,LAND,SYSTEMS,HEIGHT_R,TIER
CN-Cha,MF,42.4025,128.0958,2003-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,41.5,26.0,Dwb - Snow dry winter warm summer,754,Deciduous Broadleaf Trees,China,Asia,O,1.5961538461538463,1
CN-Cng,GRA,44.5934,123.5092,2007-01-01 00:00:00,2010-12-31 23:30:00,LI-7500,CSAT3,2.0,0.8,Dwa - Cold dry winter hot summer,142,,China,Asia,O,2.5,1
CN-Dan,GRA,30.4978,91.0664,2004-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,2.1,0.1,ET - Polar tundra,4751,Grass,China,Asia,O,21.0,1
CN-Din,EBF,23.1733,112.5361,2003-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,27.0,17.0,Cfa - Warm temperate fully humid with hot summer,261,Evergreen Broadleaf Trees,China,Asia,O,1.588235294117647,1
CN-Du2,GRA,42.0467,116.2836,2006-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,CSAT3,4.0,0.45,Dwb - Snow dry winter warm summer,1331,Grass,China,Asia,O,8.88888888888889,1
CN-Du3,GRA,42.0551,116.2809,2009-01-01 00:00:00,2010-12-31 23:30:00,LI-7500,CSAT3,3.0,0.2,Dwb - Snow dry winter warm summer,1312,Grass,China,Asia,O,15.0,1
CN-Ha2,WET,37.6086,101.3269,2003-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,2.5,2.2,ET - Polar tundra,3200,Grass,China,Asia,O,1.1363636363636362,1
CN-HaM,GRA,37.37,101.18,2002-01-01 00:00:00,2004-12-31 23:30:00,LI-7500,CSAT3,2.2,0.2,Dwc - Cold dry winter cold summer,3995,,China,Asia,O,11.0,1
CN-Qia,ENF,26.7414,115.0581,2003-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,23.0,12.0,Cfa - Warm temperate fully humid with hot summer,64,Shrub,China,Asia,O,1.9166666666666667,1
CN-Sw2,GRA,41.7902,111.8971,2010-01-01 00:00:00,2012-12-31 23:30:00,LI-7500,CSAT3,2.0,0.5,BSk - Arid Steppe cold,1444,,China,Asia,O,4.0,1
CZ-BK1,ENF,49.50213,18.53686,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-6250,"R3-100(unitl 2011), HS-50",17.0,12.0,Dfb - Snow fully humid warm summer,862,Evergreen Needleleaf Trees,Czech Republic,Europe,C,1.4166666666666667,1
CZ-BK2,GRA,49.49443,18.54285,2004-01-01 00:00:00,2012-12-31 23:30:00,LI-7000,R3,3.0,1.0,Dfb - Snow fully humid warm summer,837,Evergreen Needleleaf Trees,Czech Republic,Europe,C,3.0,1
CZ-wet,WET,49.02465,14.77035,2006-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,R3,2.7,0.1,Cfb - Warm temperate fully humid with warm summer,425,Cereal crop,Czech Republic,Europe,O,27.0,1
DE-Akm,WET,53.86617,13.68342,2009-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,CSAT-3,9.5,3.0,Cfb - Warm temperate fully humid with warm summer,4,Urban and built up,Germany,Europe,C,3.1666666666666665,1
DE-Geb,CRO,51.1001,10.9143,2001-01-01 00:00:00,2014-12-31 23:30:00,LI-6262/LI-7000(since 2002),R3,6.0,1.0,Cfb - Warm temperate fully humid with warm summer,157,Cereal crop,Germany,Europe,C,6.0,1
DE-Gri,GRA,50.95004,13.51259,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500(2002-2005)/LI-6262(2005)/LI-7000,METEK(2002-2007)/Solent R3,3.0,1.0,Cfb - Warm temperate fully humid with warm summer,377,Deciduous Broadleaf Trees,Germany,Europe,M,3.0,1
DE-Hai,DBF,51.07917,10.453,2000-01-01 00:00:00,2012-12-31 23:30:00,LI-6262,Gill Solent R3,43.5,33.0,Cfb - Warm temperate fully humid with warm summer,433,Deciduous Broadleaf Trees,Germany,Europe,C,1.3181818181818181,1
DE-Kli,CRO,50.89306,13.52238,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,Solent R3,3.5,1.0,Cfb - Warm temperate fully humid with warm summer,468,Cereal crop,Germany,Europe,C,3.5,1
DE-Lkb,ENF,49.09962,13.30467,2009-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT3,9.0,18.0,Cfb - Warm temperate fully humid with warm summer,1305,Evergreen Needleleaf Trees,Germany,Europe,O,0.5,1
DE-Lnf,DBF,51.32822,10.3678,2002-01-01 00:00:00,2012-12-31 23:30:00,LI-6262,R3,44.0,34.0,Cfb - Warm temperate fully humid with warm summer,456,Deciduous Broadleaf Trees,Germany,Europe,C,1.2941176470588236,1
DE-Obe,ENF,50.78666,13.72129,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,Metek,42.0,13.5,Cfb - Warm temperate fully humid with warm summer,695,Evergreen Needleleaf Trees,Germany,Europe,C,3.111111111111111,1
DE-RuR,GRA,50.62191,6.30413,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,2.6,0.1,Cfb - Warm temperate fully humid with warm summer,515,Grass,Germany,Europe,O,26.0,1
DE-RuS,CRO,50.86591,6.44717,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,2.2,2.0,Cfb - Warm temperate fully humid with warm summer,101,Urban and built up,Germany,Europe,O,1.1,1
DE-Seh,CRO,50.87062,6.44965,2007-01-01 00:00:00,2010-12-31 23:30:00,LI-7500,CSAT3,3.0,0.5,Cfb - Warm temperate fully humid with warm summer,103,Cereal crop,Germany,Europe,O,6.0,1
DE-SfN,WET,47.80639,11.3275,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,6.0,2.0,Cfb - Warm temperate fully humid with warm summer,595,Evergreen Needleleaf Trees,Germany,Europe,O,3.0,1
DE-Spw,WET,51.89225,14.03369,2010-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,CSAT-3,39.0,10.0,Cfb - Warm temperate fully humid with warm summer,62,Deciduous Broadleaf Trees,Germany,Europe,C,3.9,1
DE-Tha,ENF,50.96235,13.56516,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262(1996-2006)/LI-7000,Gill Solent R2(1996-2006)/Gill Solent R3,42.0,28.0,Cfb - Warm temperate fully humid with warm summer,320,Evergreen Needleleaf Trees,Germany,Europe,C,1.5,1
DE-Zrk,WET,53.87594,12.88901,2013-01-01 00:00:00,2014-12-31 23:30:00,LI-7200,HS-50,2.63,0.1,Cfb - Warm temperate fully humid with warm summer,1,Deciduous Broadleaf Trees,Germany,Europe,C,26.299999999999997,1
DK-Eng,GRA,55.69053,12.19175,2005-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,Metek,2.0,1.0,Cfb - Warm temperate fully humid with warm summer,18,Cereal crop,Denmark,Europe,O,2.0,1
DK-Fou,CRO,56.4842,9.58722,2005-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,Metek,3.5,2.0,Cfb - Warm temperate fully humid with warm summer,55,Cereal crop,Denmark,Europe,O,1.75,1
DK-NuF,WET,64.13083,-51.38611,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,R3-50,2.1,1.0,ET - Polar tundra,57,Shrub,Denmark,Europe,C,2.1,1
DK-Sor,DBF,55.48587,11.64464,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262/LI-7000,Solent 1012 R2,43.0,25.8,Cfb - Warm temperate fully humid with warm summer,35,Deciduous Broadleaf Trees,Denmark,Europe,C,1.6666666666666665,1
DK-ZaF,WET,74.48143,-20.55452,2008-01-01 00:00:00,2011-12-31 23:30:00,LI-6262,Gill Solent,3.5,0.2,ET - Polar tundra,65,Shrub,Denmark,Europe,C,17.5,1
DK-ZaH,GRA,74.47328,-20.5503,2000-01-01 00:00:00,2014-12-31 23:30:00,LI-6262(2000-2007)/LI-7000,R2(2000-2007)/R3,3.0,1.0,ET - Polar tundra,48,Shrub,Denmark,Europe,C,3.0,1
ES-Amo,OSH,36.83361,-2.25232,2007-01-01 00:00:00,2012-12-31 23:30:00,LI-7500,CSAT-3,3.05,0.3,BSk - Arid Steppe cold,53,Shrub,Spain,Europe,O,10.166666666666666,1
ES-LgS,OSH,37.09794,-2.96583,2007-01-01 00:00:00,2009-12-31 23:30:00,LI-7500,METEK,2.25,0.2,"Csa - Warm temperate with dry, hot summer",2261,Evergreen Needleleaf Trees,Spain,Europe,O,11.25,1
ES-LJu,OSH,36.92659,-2.75212,2004-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT-3,2.5,0.5,"Csa - Warm temperate with dry, hot summer",1622,Shrub,Spain,Europe,O,5.0,1
ES-Ln2,OSH,36.9695,-3.47582,2009-01-01 00:00:00,2009-12-31 23:30:00,LI-7500,CSAT-3,2.0,1.0,"Csa - Warm temperate with dry, hot summer",2252,Shrub,Spain,Europe,O,2.0,1
